ExternalDataReferences,StudyDay,UniqueID,UniqueID2,T1_IPAddress,T1_StartDate,T1_EndDate,Now_Temparture,Now_Humidity,Now_Precipitation,Now_Precipitation,Now_Wind Speed,Now_Visibility,Now_Events,Now_Conditions,Now_Conditions,T2_IPAddress,T2_StartDate,T2_EndDate,Now_Temparture,Now_Humidity,Now_Precipitation,Now_Precipitation,Now_Wind Speed,Now_Visibility,Now_Events,Now_Conditions,Now_Conditions,,,Day_Temparture,Max_Temparture,Min_Temparture,Day_Humidity,Max_Humidity,Min_Humidity,Max_Precipitation,Min_Precipitation,Day_Snow,Max_Snow,Min_Snow,Snow Depth,Day_Wind Speed,Day_Visibility,Day_Events,Length of Visible Light
3000,1,30001,30001,12.34.246.79,4/4/16 7:56,4/4/16 8:00,,,,,,,,,,12.34.246.79,4/4/16 16:01,4/4/16 16:09,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,2,30002,30002,12.34.246.81,4/5/16 8:45,4/5/16 8:48,,,,,,,,,,12.34.246.81,4/5/16 16:41,4/5/16 16:47,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,3,30003,30003,12.34.246.72,4/6/16 9:47,4/6/16 9:50,,,,,,,,,,107.5.22.195,4/6/16 16:58,4/6/16 17:02,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,4,30004,30004,12.34.246.72,4/7/16 10:30,4/7/16 10:33,,,,,,,,,,12.34.246.72,4/7/16 16:53,4/7/16 16:57,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,5,30005,30005,12.34.246.73,4/8/16 10:59,4/8/16 11:01,,,,,,,,,,12.34.246.73,4/8/16 16:42,4/8/16 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,6,30006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,7,30007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,8,30008,#NULL!,,#NULL!,#NULL!,,,,,,,,,,12.34.246.72,4/11/16 16:05,4/11/16 16:14,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,9,30009,30007,12.34.246.79,4/12/16 9:36,4/12/16 9:38,,,,,,,,,,12.34.246.79,4/12/16 15:25,4/12/16 15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,1,70001,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,2,70002,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
